Rank,Port,Port Name,Country,Volume 2023,Volume 2022,Volume 2021,Volume 2020,Volume 2019,,,,,,
19,"Tanjung Pelepas, Malaysia",Tanjung Pelepas,Malaysia,10.48,10.51,11.2,9.8,9.1,,,,,,
20,"Laem Chabang, Thailand",Laem Chabang,Thailand,8.87,8.74,8.34,7.55,8.1,,,,,,
21,"Long Beach, U.S.A.",Long Beach,U.S.A.,8.02,9.13,9.38,8.11,7.63,,,,,,
22,"Tanjung Priok, Jakarta, Indonesia",Tanjung Priok,"Jakarta, Indonesia",4.1,3.97,3.9,3.6,7.6,,,,,,
23,"New York-New Jersey, U.S.A.",New York-New Jersey,U.S.A.,7.81,9.49,9,7.59,7.4,,,,,,
24,"Colombo, Sri Lanka",Colombo,Sri Lanka,6.94,6.86,7.3,6.86,7.23,,,,,,
25,"Ho Chi Minh City, Vietnam",Ho Chi Minh City,Vietnam,7.4,7.91,8,7.85,7.22,,,,,,
26,"Suzhou, China",Suzhou,China,,8.11,8.11,6.29,,,,,,,
27,"Piraeus, Greece",Piraeus,Greece,5.1,5,5.31,5.44,5.67,,,,,,
28,"Yingkou, China",Yingkou,China,5.21,5.67,5.48,6.5,6.28,,,,,,
29,"Valencia, Spain",Valencia,Spain,4.8,5.05,5.6,5.43,5.44,,,,,,
30,"Manila, Philippines",Manila,Philippines,5.21,5.47,4.98,4.43,5.31,,,,,,
31,"Taicang, China",Taicang,China,8.04,,7.04,,,,,,,,
32,"Hai Phong, Vietnam",Hai Phong,Vietnam,5.57,5.63,5.7,5.14,5.13,,,,,,
33,"Algeciras, Spain",Algeciras,Spain,4.73,4.77,4.8,5.12,5.12,,,,,,
34,"Jawarharlal Nehru Port (Nhava Sheva), India",Jawarharlal Nehru Port (Nhava Sheva),India,6.35,5.96,5.63,4.48,5.03,,,,,,
35,"Bremen/Bremerhaven,Germany",Bremen/Bremerhaven,Germany,4.18,4.57,5.02,4.77,4.87,,,,,,
36,"Tanger Med, Morocco",Tanger Med,Morocco,8.61,7.6,7.17,5.77,4.8,,,,,,
37,"Lianyungang, China",Lianyungang,China,6.14,5.57,5.09,4.8,,,,,,,
38,"Mundra, India",Mundra,India,7.4,6.5,6.66,5.66,4.73,,,,,,
39,"Savannah, U.S.A",Savannah,U.S.A,4.93,5.89,5.61,4.68,4.59,,,,,,
40,"Tokyo, Japan",Tokyo,Japan,4.57,4.43,4.33,4.26,4.51,,,,,,
41,"Rizhao, China",Rizhao,China,6.26,5.8,5.17,4.86,4.5,,,,,,
42,"Foshan, China",Foshan,China,,,3.71,4.05,,,,,,,
43,"Jeddah, Saudi Arabia",Jeddah,Saudi Arabia,5.59,4.96,4.88,4.74,4.43,,,,,,
44,"Colon, Panama",Colon,Panama,4.87,5.1,4.92,4.45,,,,,,,
45,"Santos, Brazil",Santos,Brazil,4.78,4.99,4.83,4.23,4.17,,,,,,
46,"Salalah, Oman",Salalah,Oman,3.79,4.5,4.51,4.34,3.94,,,,,,
47,"Dongguan, China",Dongguan,China,3.9,3.41,3.4,3.42,,,,,,,
48,"Guangxi Beibu, China",Guangxi Beibu,China,8,7.02,6.01,5.38,3.82,,,,,,
49,"Cai Mep, Vietnam",Cai Mep,Vietnam,5.48,5.59,5.39,4.41,,,,,,,
50,"Yingkou, China",Yingkou,China,5.33,5,5.21,5.65,,,,,,,
51,"Port Said, Egypt",Port Said,Egypt,4.44,4.25,4.76,4.01,,,,,,,
53,"NW Seaport Alliance, U.S.A.",NW Seaport Alliance,U.S.A.,2.97,3.38,3.74,3.32,,,,,,,
54,"Felixstowe, U.K.",Felixstowe,U.K.,3.71,3.7,3.7,3.5,,,,,,,
55,"Marsaxlokk, Malta",Marsaxlokk,Malta,2.8,2.89,2.97,2.44,,,,,,,
56,"Fuzhou, China",Fuzhou,China,3.5,3.29,3.29,3.52,,,,,,,
57,"Barcelona, Spain",Barcelona,Spain,3.28,3.52,3.53,2.96,,,,,,,
58,"Vancouver, Canada",Vancouver,Canada,3.13,3.56,3.68,3.47,,,,,,,
